Molecule ChEMBL ID,MOL_molhash_id,MOL_num_stereoisomers,CLS_pChEMBL Value,AC_CLS_pChEMBL Value,MOL_molhash_id_no_stereo,MOL_smiles,pChEMBL Value,Smiles,split
CHEMBL4514517,e4bba77bfc8db40b89b719acab72cd51dc208cf9,1,1.0,False,0d57518cd719d5de465d8b4681146e0bdfc9d665,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccccc1F,8.1,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccccc1F,train
CHEMBL334472,dbd16696809dd58a29fe3724ab28bdd1b043aadc,1,1.0,False,5d3f3e41313ef7563d79e3b8d0ecf37e3be43475,CCCNC1CCc2c(O)cccc2C1,7.92,CCCNC1CCc2c(O)cccc2C1,train
CHEMBL4093980,ba76f23ce646cd08a0d705302993a82a80991fdc,1,0.0,False,a705b13fab17b78dac3d53a9ce46270fa348ad0c,O=C1COc2ccccc2N1CCCN1CCN(c2cccc(Cl)c2Cl)CC1,6.56,O=C1COc2ccccc2N1CCCN1CCN(c2cccc(Cl)c2Cl)CC1,train
CHEMBL52468,e7c4b4d52df6550f544917af39d74566e3388ab7,2,0.0,False,6cee9fb78e9891a7135b11778488589048bf6b34,O=C(/C=C/c1ccc2ncccc2c1)NCCCCN1CCc2ccc(OS(=O)(=O)C(F)(F)F)cc2C1,6.6,O=C(/C=C/c1ccc2ncccc2c1)NCCCCN1CCc2ccc(OS(=O)(=O)C(F)(F)F)cc2C1,train
CHEMBL308980,5bd6619cafeb153c01a896905cc344df3589dce4,2,0.0,False,e5c0c724386cddd40e226c6b1c35972a10b4b009,C(=C/c1ccccc1)\COCC1CCN(CCCc2ccccc2)CC1,6.02,C(=C/c1ccccc1)\COCC1CCN(CCCc2ccccc2)CC1,train
CHEMBL643,652b7db39cb3fb4d2fe349dca338e1b53365d5ac,1,0.0,False,4ff405fe115e7475d5d706bc3fc4757b7f32dd5b,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,6.58,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,train
CHEMBL126439,82c2157dd0def86bbf6a70e989d9fd400050d1aa,1,1.0,False,67a204c3ad7109befb0ca24b15ae7ad141b63e26,COc1ccccc1N1CCN(CCCCNC(=O)c2ccc3ccccc3n2)CC1,7.22,COc1ccccc1N1CCN(CCCCNC(=O)c2ccc3ccccc3n2)CC1.O=C(O)C(=O)O,train
CHEMBL3901211,05bd6f745b7212f0bbe9fee2b86fcecc7eee24e5,1,0.0,False,47aa8e4bdcbcd15c85dddb7794e0ab8704fc9fda,Cc1ncoc1-c1nnc(SCCCN2CC[C@@]3(C[C@@H]3c3ccccc3)C2)n1C,6.15,Cc1ncoc1-c1nnc(SCCCN2CC[C@@]3(C[C@@H]3c3ccccc3)C2)n1C,train
CHEMBL26962,305f1efa20853da4bb8d9b8c9bc10866226aeec2,1,0.0,False,db771a8615393637efe8ea59580abc00b902bb74,COc1ccccc1N1CCN(CCCCNC(=O)C2CCCCC2)CC1,6.78,COc1ccccc1N1CCN(CCCCNC(=O)C2CCCCC2)CC1,train
CHEMBL4875600,7c345531243baa6d6b4033d21f673c64c45dceb1,2,0.0,False,18441a6552243c8625a6094feba34b1d14903946,Cc1nc(N)sc1CCCN/C(N)=N/C(=O)NC(C)c1cccc(F)c1,6.5,Cc1nc(N)sc1CCCN/C(N)=N/C(=O)NC(C)c1cccc(F)c1,train
CHEMBL241082,d940b221a1836d4b2beac74f2002e91a28afb7db,1,0.0,False,a84b9937973f2012cd905779beeb7b9efdf2c669,COc1cccc(C2=NCCc3c2[nH]c2ccc(OC)cc32)c1,4.6,COc1cccc(C2=NCCc3c2[nH]c2ccc(OC)cc32)c1,train
CHEMBL554073,eab5f86a2975d012c90cef056e306ee58dd39264,1,0.0,False,10c42f06134927d6956b154c5f3efa01a536f349,N#Cc1cc(N2CCN(CCN3CCC(C(F)(F)F)CC3)C2=O)ccc1F,6.0,N#Cc1cc(N2CCN(CCN3CCC(C(F)(F)F)CC3)C2=O)ccc1F,train
CHEMBL4469860,1c6ac180833aab9541081f4ce1a93f93ab8773bf,1,0.0,False,a75d96b3776eb02450d8cdf6bfae44745b67ffff,CCc1nc(N)[nH]c1-c1cn(S(=O)(=O)c2ccccc2)c2ccccc12,5.8,CCc1nc(N)[nH]c1-c1cn(S(=O)(=O)c2ccccc2)c2ccccc12.Cl,train
CHEMBL3589576,c8a0e2046de96efede0e0b4b39ad596f29eadca6,2,1.0,False,92252a0c9a1f1985098ed1c90deb43015f8504a1,CCCN(CCNC(=O)/N=N/c1ccc(F)c(F)c1)C1Cc2ccccc2C1,8.24,CCCN(CCNC(=O)/N=N/c1ccc(F)c(F)c1)C1Cc2ccccc2C1,train
CHEMBL213110,1371c9d7d4ca3ac05a7a46269bcaa82e56013794,1,0.0,False,6a26930f85ba0dd51c22fe6505746db6e41a94ef,COc1cc(C(=O)NN2c3ccc(Cl)cc3N=C(N3CCN(C)CC3)c3cc(Cl)ccc32)cc(OC)c1OC,6.57,COc1cc(C(=O)NN2c3ccc(Cl)cc3N=C(N3CCN(C)CC3)c3cc(Cl)ccc32)cc(OC)c1OC,train
CHEMBL2059324,936ad9541cb75d5ec7fb10e482f082f4d79e22be,1,1.0,False,801bd7952424a1750f9c498e376d4dd9546593d0,O=C1COc2ccccc2N1CCCN1CCC(n2c(=O)[nH]c3c(F)cccc32)CC1,7.82,O=C1COc2ccccc2N1CCCN1CCC(n2c(=O)[nH]c3c(F)cccc32)CC1,train
CHEMBL567286,7e47ce681978f67a45b4a4afb8ba23f00679dd83,1,1.0,False,5c5e0e06a461027f9cbf36fbf9ef959386f0380b,N#[11C]c1cccc(N2CCN(CCN3CCC(C(F)(F)F)CC3)C2=O)c1,7.15,N#[11C]c1cccc(N2CCN(CCN3CCC(C(F)(F)F)CC3)C2=O)c1,train
CHEMBL4164849,b2f8b4f38c27eb3aea0d886d25d1f42d4892c39e,1,0.0,False,f8d71833684e6e618b72a1a9d03af4561feaeecb,Cc1oc(-c2ccco2)nc1CN(C)C[C@@H]1Cc2ccccc2O1,5.24,Cc1oc(-c2ccco2)nc1CN(C)C[C@@H]1Cc2ccccc2O1,train
CHEMBL113527,3ece8728162f000e66518c446dee918c749db9b7,1,1.0,False,e4623a563485de4f50f60eb3348cce0487ef4f6f,CCCN(CCc1ccc(Nc2ccc([N+](=O)[O-])c3nonc23)cc1)[C@@H]1CCc2c(O)cccc2C1,8.49,CCCN(CCc1ccc(Nc2ccc([N+](=O)[O-])c3nonc23)cc1)[C@@H]1CCc2c(O)cccc2C1,train
CHEMBL64249,3a2c091473cdb1eda3d8667be1f29b5171b80e50,1,1.0,False,2a47b661b66fd83f300f889fc2feced7596c48fe,CN1CCN(C2Cc3ccccc3Sc3ccc(Cl)cc32)CC1,9.17,CN1CCN(C2Cc3ccccc3Sc3ccc(Cl)cc32)CC1,train
CHEMBL310843,7d85cdba4aca4a2b3873f85bd5a74e9f38d13b93,1,0.0,False,0768b6fca3e6233796123b48cbaffe40f431e1ea,Clc1ccc(N2CCN(Cc3cc4ccccn4n3)CC2)cc1,5.47,Clc1ccc(N2CCN(Cc3cc4ccccn4n3)CC2)cc1,train
CHEMBL4077538,3607639ede325d492855fb5b5b2f020fb2e057ef,1,0.0,False,1d608c8e326419f16b77ed0a784bb1e9d6ddc7d7,O=S(=O)(c1cccc2ncccc12)N1CCC(CCN2CCN(c3cccc(F)c3)CC2)CC1,5.74,O=S(=O)(c1cccc2ncccc12)N1CCC(CCN2CCN(c3cccc(F)c3)CC2)CC1,train
CHEMBL3588981,c49bafd833782c0e4e05d0c4c803063dcee0ecee,1,1.0,False,cc8522def03ff09a72f084fe64817731f38209f8,COc1ccccc1N1CCN(CCCCn2cc(-c3ccc4[nH]ccc4c3)nn2)CC1,7.36,COc1ccccc1N1CCN(CCCCn2cc(-c3ccc4[nH]ccc4c3)nn2)CC1,train
CHEMBL160932,fcacd861db3cbeff3493aae1ee612cdc4320255d,1,0.0,False,b2b043536a256580035719571a720416dce9e208,Cc1nn2c(C#N)cccc2c1CN1CCN(c2ccc(Cl)cc2)CC1,4.235,Cc1nn2c(C#N)cccc2c1CN1CCN(c2ccc(Cl)cc2)CC1,train
CHEMBL106169,3ad4232b4b4ba33fb992f4518198535f41dc5648,1,0.0,False,632ab77aaf29964c2e34d252b8230e5272278eba,CCc1ccc(CN2CCN(CC(=O)N3c4ccccc4C[C@H]3C)CC2)cc1,6.12,CCc1ccc(CN2CCN(CC(=O)N3c4ccccc4C[C@H]3C)CC2)cc1,train
CHEMBL2112882,f8799017f86ada4cf85a8f67a7bff63a2a749cc6,1,1.0,False,5cb4f8a5fc0c5a5581c270354599aee1431f25ab,CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)[C@]2(O)O[C@@](C)(NC(=O)[C@@H]3C=C4c5cccc6[nH]cc(c56)C[C@H]4N(C)C3)C(=O)N12,8.5,CC(C)C[C@H]1C(=O)N[C@@H](Cc2ccccc2)[C@]2(O)O[C@@](C)(NC(=O)[C@@H]3C=C4c5cccc6[nH]cc(c56)C[C@H]4N(C)C3)C(=O)N12,train
CHEMBL4457881,f2777665e3bf4903f826d447bea77e49b3d8cf3e,1,0.0,False,667632b763bb243ee2386ed8ed230492caff7dbf,CC(C)Oc1ccc2[nH]cc(C3=CCN(Cc4ccccc4)CC3)c2c1,6.49,CC(C)Oc1ccc2[nH]cc(C3=CCN(Cc4ccccc4)CC3)c2c1,train
CHEMBL908,920394d12ae8026fef8a87c06e02e2d588c9271a,2,1.0,False,e6f13e3f224fe84f88e5af72cecc27c711a1638e,CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21,8.53,CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21,train
CHEMBL193854,db01d28ed93f4d5e828144124af41962e5789495,1,1.0,False,87cb70f0cdef8e40c4183ebc5095ecfce74e8bcc,Fc1cccc2[nH]cc(CCCN3CCN(c4cccc5c4OCCO5)CC3)c12,8.09,Fc1cccc2[nH]cc(CCCN3CCN(c4cccc5c4OCCO5)CC3)c12,train
CHEMBL4741702,a717a675fd23b8bc5acfcf8855861d5bbaeb5f45,1,1.0,False,17dbb6b18b834dc3a0b75f58f5e41b41b3713a57,C[C@H]1CN(CC[C@H]2CC[C@H](NC(=O)N3CCOCC3)CC2)CCc2ccc(Cl)cc21,8.54,C[C@H]1CN(CC[C@H]2CC[C@H](NC(=O)N3CCOCC3)CC2)CCc2ccc(Cl)cc21,train
CHEMBL159742,c559846dc86f2a16f047536581bdcfc850481ba2,1,0.0,False,47265eac368c64fac1e16fa2dc590d59df96676c,COc1cc(C)ccc1CN1CCN(C2CCc3cccc4c3N(C2=O)C(C)(C)C4)CC1,6.02,COc1cc(C)ccc1CN1CCN(C2CCc3cccc4c3N(C2=O)C(C)(C)C4)CC1,train
CHEMBL4565558,da87f6b96d205e67d072eac375da9eff534ea41c,1,1.0,False,d8bad925eeec47d729a5947af3950a57ca7987a9,COc1ccccc1N1CCN(CCCCCCN2C(=O)c3ccccc3S2(=O)=O)CC1,8.105,COc1ccccc1N1CCN(CCCCCCN2C(=O)c3ccccc3S2(=O)=O)CC1,train
CHEMBL69733,844b5b3083f13bd4f1478e7c2d6f8159d52cf7c8,1,0.0,False,3fd09b0493ecbfedf2c4b64437c4538d425a8ba9,COc1ccc(CCCN2CCC(CCC(=O)c3cc(Cl)c(N)c4c3OCCO4)CC2)cc1OC,6.5,COc1ccc(CCCN2CCC(CCC(=O)c3cc(Cl)c(N)c4c3OCCO4)CC2)cc1OC,train
CHEMBL253878,9204638ec3ea09cc540213f61d5ad7f7dd41385a,1,1.0,False,3b4f39b12544d8987580d25125c7f1f123b5964b,O=C(Cc1ccccc1)NC1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21,7.58,O=C(Cc1ccccc1)NC1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21,train
CHEMBL423247,5e8fa262eb59d606075b7d8cc09281d18be46e1f,1,0.0,False,b04c06636ee79c24f34dd90f9ff7cc2cd9419674,Cc1cccc2c(CN3CCN(c4ccc(Cl)cc4)CC3)cnn12,5.31,Cc1cccc2c(CN3CCN(c4ccc(Cl)cc4)CC3)cnn12,train
CHEMBL545222,be508608ae1e55d44b71ce56fe6e53ec9d71c188,1,0.0,False,1ceb72b6efec3b5ed6aab5ca932fa16681ba0d99,O=C1C=C(c2ccccc2)OC12CCN(CCc1ccccc1)CC2,5.14,Cl.O=C1C=C(c2ccccc2)OC12CCN(CCc1ccccc1)CC2,train
CHEMBL234680,6e8eaf23c4418283a1821b2f1f52fb2887e932a4,1,1.0,False,ce7d4c301646a2e86cfdd994ece07cc4b46d27d9,CC(C)Oc1ccccc1N1CCN([C@H]2CC[C@H](NS(=O)(=O)c3ccccc3C#N)CC2)CC1,8.62,CC(C)Oc1ccccc1N1CCN([C@H]2CC[C@H](NS(=O)(=O)c3ccccc3C#N)CC2)CC1,train
CHEMBL4469537,061d00d29a6ec8e031834c0acdca90b21220af54,1,0.0,False,e394a6c4210c1f7ef03151321a3760c951cde781,O=c1c(-c2ccc(F)cc2)c2n(c(=O)n1CCCCN1CCCC(c3c[nH]c4ccccc34)C1)CCCC2,5.7,O=c1c(-c2ccc(F)cc2)c2n(c(=O)n1CCCCN1CCCC(c3c[nH]c4ccccc34)C1)CCCC2,train
CHEMBL1940414,86003cba3f0cfd275386b5aaef59e5990432c747,1,0.0,False,ac9f594f15ba3a02d6d8f6e133e205843e281556,c1ccc(OCCCN2CCN(c3ccccc3)CC2)cc1,6.92,c1ccc(OCCCN2CCN(c3ccccc3)CC2)cc1,train
CHEMBL165381,9940ec3a74b0d2869a4d7cff34ba66256d672616,1,0.0,False,6152301f34aab3d0444c38228731c3be89c0cbdb,CCCN(CCC)CC[C@H]1CC[C@H](Nc2ncccn2)CC1,5.62,CCCN(CCC)CC[C@H]1CC[C@H](Nc2ncccn2)CC1,train
CHEMBL4521947,19f77a08e17082bf7e5eb5ef29503698bf33fa4b,1,1.0,False,ef86757158fde2875c10aa3f54977a325944146b,CCc1cc(Cl)c(OC)c(N2CCN(CCCCNC(=O)c3cc4ccccc4[nH]3)CC2)c1,7.56,CCc1cc(Cl)c(OC)c(N2CCN(CCCCNC(=O)c3cc4ccccc4[nH]3)CC2)c1,train
CHEMBL1242923,ee0545d6ad17daa6a6a0abdc685f364810761cb7,1,0.0,False,c0917806c4b5282da16d91c7b8b5f5984ae60fda,O=C(Cc1ccccc1)NC1CCN(CCCN2C(=O)COc3ccccc32)CC1,6.08,O=C(Cc1ccccc1)NC1CCN(CCCN2C(=O)COc3ccccc32)CC1,train
CHEMBL3798018,b2c15c526f3239e8a8df21e72cc1a2a5ab62a0b7,1,0.0,False,52f8d87d951dcaa8d761aab3510b6db8d18432fe,CN[C@@H]1Cc2cc(C#N)cc3[nH]c(=O)n(c23)C1,5.29,CN[C@@H]1Cc2cc(C#N)cc3[nH]c(=O)n(c23)C1,train
CHEMBL98945,a4953138a48623b47773524e90478b6b887542e0,1,0.0,False,f1be84727b3dd5c6d5cfa2142ad928eca05400b1,CCn1ncc2c1-c1c(Cl)sc(Cl)c1CCC2,6.31,CCn1ncc2c1-c1c(Cl)sc(Cl)c1CCC2,train
CHEMBL3642778,70d84dc08a1e0b9ad0cbd62fdbbbef34ec8e8b55,1,0.0,False,d20755503bfcefa4cbee0135ec3b88982d5c65eb,Cc1cc2c(c(N3CCN(CC[C@H]4CC[C@H](NC(=O)C5CCOCC5)CC4)CC3)n1)CCO2,5.71,Cc1cc2c(c(N3CCN(CC[C@H]4CC[C@H](NC(=O)C5CCOCC5)CC4)CC3)n1)CCO2,train
CHEMBL1774384,f2adab3b9fee783882257ec5883a900948917996,1,0.0,False,7f99ee03f7b8cffe98a9f850fe089dac792e8873,O=C(NCCC(F)CN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(-c2ccccn2)cc1,6.42,O=C(NCCC(F)CN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(-c2ccccn2)cc1,train
CHEMBL542324,a67a8ba999e46b92b9b91e09ae1d302b4c8825aa,1,0.0,False,dcdc036c3dece9a39b63fbf8a4d45e6cd855be24,c1ccc(N2CCN(CCCCc3cc(-c4cccs4)no3)CC2)cc1,5.38,Cl.c1ccc(N2CCN(CCCCc3cc(-c4cccs4)no3)CC2)cc1,train
CHEMBL4246630,f8e4ab85cbe24d29723d89961065a40266029a07,1,1.0,False,a8d51e4df302121a38a4a35fc06e9656ca7e5541,O=S(=O)(c1cncc2ccccc12)N1CCC[C@@H]1CCN1CC=C(c2c[nH]c3ccc(Cl)cc23)CC1,7.92,O=S(=O)(c1cncc2ccccc12)N1CCC[C@@H]1CCN1CC=C(c2c[nH]c3ccc(Cl)cc23)CC1,train
CHEMBL4436589,ef7ef7bbd10a5312fd76a6715804cd2bf572a903,2,0.0,False,bb15c9a4e57c4241f98c3eb882c4446ad3996677,C[C@H]1CO[C@H](c2ccc(N)nc2)CN1C/C=C/COc1ccc2c(c1)NC(=O)CC2,4.68,C[C@H]1CO[C@H](c2ccc(N)nc2)CN1C/C=C/COc1ccc2c(c1)NC(=O)CC2,train
